trait_type_resource,trait_resource,trait_type_consumer,trait_consumer
tiering,t_land,tiering,t_land
tiering,t_pela,tiering,t_land
tiering,t_erec,tiering,t_land
tiering,t_surf,tiering,t_land
tiering,t_land,tiering,t_pela
tiering,t_pela,tiering,t_pela
tiering,t_erec,tiering,t_pela
tiering,t_surf,tiering,t_pela
tiering,t_sein,tiering,t_pela
tiering,t_pela,tiering,t_erec
tiering,t_erec,tiering,t_erec
tiering,t_surf,tiering,t_erec
tiering,t_pela,tiering,t_surf
tiering,t_erec,tiering,t_surf
tiering,t_surf,tiering,t_surf
tiering,t_sein,tiering,t_surf
tiering,t_shin,tiering,t_surf
tiering,t_pela,tiering,t_sein
tiering,t_erec,tiering,t_sein
tiering,t_surf,tiering,t_sein
tiering,t_sein,tiering,t_sein
tiering,t_shin,tiering,t_sein
tiering,t_surf,tiering,t_shin
tiering,t_sein,tiering,t_shin
tiering,t_shin,tiering,t_shin
tiering,t_dein,tiering,t_shin
tiering,t_sein,tiering,t_dein
tiering,t_shin,tiering,t_dein
tiering,t_dein,tiering,t_dein
motility,m_fast,motility,m_fast
motility,m_slow,motility,m_fast
motility,m_faun,motility,m_fast
motility,m_faat,motility,m_fast
motility,m_nmun,motility,m_fast
motility,m_nmat,motility,m_fast
motility,m_slow,motility,m_slow
motility,m_faun,motility,m_slow
motility,m_faat,motility,m_slow
motility,m_nmun,motility,m_slow
motility,m_nmat,motility,m_slow
motility,m_slow,motility,m_faun
motility,m_faun,motility,m_faun
motility,m_faat,motility,m_faun
motility,m_nmun,motility,m_faun
motility,m_nmat,motility,m_faun
motility,m_slow,motility,m_faat
motility,m_faun,motility,m_faat
motility,m_nmun,motility,m_faat
motility,m_nmun,motility,m_nmun
motility,m_nmun,motility,m_nmat
feeding,f_pred,feeding,f_pred
feeding,f_susp,feeding,f_pred
feeding,f_surf,feeding,f_pred
feeding,f_prim,feeding,f_susp
feeding,f_prim,feeding,f_surf
sizegp,s_clon,sizegp,s_clon
sizegp,s_mini,sizegp,s_clon
sizegp,s_clon,sizegp,s_mini
sizegp,s_mini,sizegp,s_mini
sizegp,s_clon,sizegp,s_smal
sizegp,s_mini,sizegp,s_smal
sizegp,s_smal,sizegp,s_smal
sizegp,s_clon,sizegp,s_medi
sizegp,s_mini,sizegp,s_medi
sizegp,s_smal,sizegp,s_medi
sizegp,s_medi,sizegp,s_medi
sizegp,s_clon,sizegp,s_larg
sizegp,s_mini,sizegp,s_larg
sizegp,s_smal,sizegp,s_larg
sizegp,s_medi,sizegp,s_larg
sizegp,s_larg,sizegp,s_larg